Name:,MRTJ Failure History(Formation)
RakeID,5
CarID,-
CarNo,-
ReadTime,26-05-07 16:08:16
DataSize,15
DataCount,200
-,
-,
-,
-,
-,
-,
-,
-,
-,
,,,,,,,,,,,,,,,,
Block.No,Year,Month,Day,Hour,Minute,Second,CarNo,Train ID,Occur/Recover,Location[m],Failure Equipment,Fault Code,Notch,Speed[km/h],Overhead Voltage[V],
120,26,05,06,09,16,11,01,0107,1,26,2,212,Neutral,18,1590,
121,26,05,06,09,16,11,01,0107,1,26,2,211,Neutral,18,1590,
122,26,05,06,07,12,49,01,0104,0,7959,20,1204,A_P16,23,1510,
123,26,05,06,07,11,49,01,0104,1,7936,20,1204,A_B6,0,1650,
124,26,05,06,04,38,49,01,FFFF,0,0,19,1103,EB,0,1610,
125,26,05,06,04,37,48,01,FFFF,1,0,19,1103,EB,0,1620,
126,26,05,06,04,32,54,06,FFFF,0,0,9,806,EB,0,1600,
127,26,05,06,04,32,53,06,FFFF,1,0,9,806,EB,0,1600,
128,26,05,06,04,32,48,04,FFFF,0,0,8,700,EB,0,0,
129,26,05,06,04,32,48,04,FFFF,0,0,7,600,EB,0,0,
130,26,05,06,04,32,48,04,FFFF,0,0,6,500,EB,0,0,
131,26,05,06,04,32,48,04,FFFF,0,0,5,400,EB,0,0,
132,26,05,06,04,32,48,03,FFFF,0,0,8,700,EB,0,0,
133,26,05,06,04,32,48,03,FFFF,0,0,7,600,EB,0,0,
134,26,05,06,04,32,48,03,FFFF,0,0,6,500,EB,0,0,
135,26,05,06,04,32,48,03,FFFF,0,0,4,301,EB,0,0,
136,26,05,06,04,32,48,03,FFFF,0,0,3,300,EB,0,0,
137,26,05,06,04,32,48,02,FFFF,0,0,8,700,EB,0,0,
138,26,05,06,04,32,48,02,FFFF,0,0,7,600,EB,0,0,
139,26,05,06,04,32,48,02,FFFF,0,0,6,500,EB,0,0,
140,26,05,06,04,32,48,02,FFFF,0,0,5,400,EB,0,0,
141,26,05,05,23,41,31,01,FFFF,0,0,1,121,EB,0,10,
142,26,05,05,23,41,31,04,FFFF,1,0,8,700,EB,0,10,
143,26,05,05,23,41,31,04,FFFF,1,0,7,600,EB,0,10,
144,26,05,05,23,41,31,04,FFFF,1,0,6,500,EB,0,10,
145,26,05,05,23,41,31,04,FFFF,1,0,5,400,EB,0,10,
146,26,05,05,23,41,31,03,FFFF,1,0,8,700,EB,0,10,
147,26,05,05,23,41,31,03,FFFF,1,0,7,600,EB,0,10,
148,26,05,05,23,41,31,03,FFFF,1,0,6,500,EB,0,10,
149,26,05,05,23,41,31,03,FFFF,1,0,4,301,EB,0,10,
150,26,05,05,23,41,31,03,FFFF,1,0,3,300,EB,0,10,
151,26,05,05,23,41,31,02,FFFF,1,0,8,700,EB,0,10,
152,26,05,05,23,41,31,02,FFFF,1,0,7,600,EB,0,10,
153,26,05,05,23,41,31,02,FFFF,1,0,6,500,EB,0,10,
154,26,05,05,23,41,31,02,FFFF,1,0,5,400,EB,0,10,
155,26,05,05,23,41,31,01,FFFF,1,0,1,121,EB,0,10,
156,26,05,05,23,25,17,01,1712,0,7958,20,1204,A_P16,24,1560,
157,26,05,05,23,24,16,01,1712,1,7935,20,1204,A_B6,0,1790,
158,26,05,05,22,13,22,01,1710,0,7960,20,1204,A_P16,24,1570,
159,26,05,05,22,12,24,01,1710,1,7935,20,1204,A_B6,0,1610,
160,26,05,05,21,03,24,01,1708,0,7937,20,1204,A_P16,0,1630,
161,26,05,05,21,02,45,01,1708,1,7937,20,1204,A_B6,0,1610,
162,26,05,05,19,17,19,06,1705,0,7941,20,1204,A_B6,0,1830,
163,26,05,05,19,17,18,06,1705,1,7941,20,1204,A_B6,0,1830,
164,26,05,05,19,16,03,06,1705,0,8548,20,1203,A_P16,24,1580,
165,26,05,05,19,15,30,06,1705,1,8571,20,1203,A_B6,0,1710,
166,26,05,05,18,39,20,01,1704,0,7962,20,1204,A_P16,24,1560,
167,26,05,05,18,38,25,01,1704,1,7937,20,1204,A_B6,0,1590,
168,26,05,05,18,00,32,06,1703,0,8316,20,1203,A_P16,5,1560,
169,26,05,05,18,00,08,06,1703,1,8317,20,1203,A_B6,0,1600,
170,26,05,05,17,25,13,01,1702,0,7961,20,1204,A_P16,24,1530,
171,26,05,05,17,24,24,01,1702,1,7937,20,1204,A_B6,0,1600,
172,26,05,05,16,50,19,06,1701,0,7940,20,1204,A_B6,0,1590,
173,26,05,05,16,50,17,06,1701,1,7940,20,1204,A_B6,0,1570,
174,26,05,05,16,50,15,06,1701,0,7940,20,1203,A_B6,0,1580,
175,26,05,05,16,50,07,06,1701,1,7940,20,1203,A_B6,0,1560,
176,26,05,05,15,27,31,06,FFFF,0,0,19,1103,EB,0,1630,
177,26,05,05,15,27,17,06,FFFF,1,0,19,1103,EB,0,1610,
178,26,05,05,15,22,23,06,FFFF,0,0,9,806,EB,0,1590,
179,26,05,05,15,22,22,06,FFFF,1,0,9,806,EB,0,1590,
180,26,05,05,15,22,17,03,FFFF,0,0,6,500,EB,0,0,
181,26,05,05,15,22,17,02,FFFF,0,0,6,500,EB,0,0,
182,26,05,05,15,22,17,01,FFFF,0,0,20,1200,EB,0,0,
183,26,05,05,15,22,17,01,FFFF,0,0,7,600,EB,0,0,
184,26,05,05,15,22,17,01,FFFF,0,0,6,500,EB,0,0,
185,26,05,05,15,21,23,01,FFFF,0,0,1,121,EB,0,30,
186,26,05,05,15,21,23,03,FFFF,1,0,6,500,EB,0,30,
187,26,05,05,15,21,23,02,FFFF,1,0,6,500,EB,0,30,
188,26,05,05,15,21,23,01,FFFF,1,0,20,1200,EB,0,30,
189,26,05,05,15,21,23,01,FFFF,1,0,7,600,EB,0,30,
190,26,05,05,15,21,23,01,FFFF,1,0,6,500,EB,0,30,
191,26,05,05,15,21,23,01,FFFF,1,0,1,121,EB,0,30,
192,26,05,05,15,18,13,01,FFFF,0,0,19,1103,EB,0,1600,
193,26,05,05,15,11,43,06,FFFF,0,0,19,1103,EB,0,1580,
194,26,05,05,13,28,36,06,FFFF,1,0,19,1103,EB,0,1560,
195,26,05,05,13,28,36,01,FFFF,1,0,19,1103,EB,0,1560,
196,26,05,05,13,23,38,06,FFFF,0,0,9,806,EB,0,1550,
197,26,05,05,13,23,37,06,FFFF,1,0,9,806,EB,0,1560,
198,26,05,05,13,23,32,04,FFFF,0,0,8,700,EB,0,0,
199,26,05,05,13,23,32,04,FFFF,0,0,7,600,EB,0,0,
